rounds,key_mode,key_hex,num_keys,seed_hex,fixed_side,fixed_mask_hex,fixed_mask_weight,rank,free_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,10,0x0000000000001234,output,0x00000001,1,1,0x2e29c571,rms,2^(-14.5913),2^(-14.5913)
11,random_keys,,10,0x0000000000001234,output,0x00000001,1,2,0x2e5562be,rms,2^(-14.6319),2^(-14.6319)
11,random_keys,,10,0x0000000000001234,output,0x00000001,1,3,0xebccd57c,rms,2^(-14.6560),2^(-14.6560)
11,random_keys,,10,0x0000000000001234,output,0x00000001,1,4,0x31e10061,rms,2^(-14.6813),2^(-14.6813)
11,random_keys,,10,0x0000000000001234,output,0x00000001,1,5,0x80da9c87,rms,2^(-14.6844),2^(-14.6844)
11,random_keys,,10,0x0000000000001234,output,0x00000002,1,1,0x9d6651de,rms,2^(-14.6082),2^(-14.6082)
11,random_keys,,10,0x0000000000001234,output,0x00000002,1,2,0x1268cc2a,rms,2^(-14.6185),2^(-14.6185)
11,random_keys,,10,0x0000000000001234,output,0x00000002,1,3,0x7f323b5f,rms,2^(-14.6277),2^(-14.6277)
11,random_keys,,10,0x0000000000001234,output,0x00000002,1,4,0x8fff6f91,rms,2^(-14.6638),2^(-14.6638)
11,random_keys,,10,0x0000000000001234,output,0x00000002,1,5,0x03f1a295,rms,2^(-14.6660),2^(-14.6660)
11,random_keys,,10,0x0000000000001234,output,0x00000004,1,1,0x5dd75a1c,rms,2^(-14.6249),2^(-14.6249)
11,random_keys,,10,0x0000000000001234,output,0x00000004,1,2,0x2bb80bf2,rms,2^(-14.6527),2^(-14.6527)
11,random_keys,,10,0x0000000000001234,output,0x00000004,1,3,0x263b61c0,rms,2^(-14.6672),2^(-14.6672)
11,random_keys,,10,0x0000000000001234,output,0x00000004,1,4,0xf3c76d12,rms,2^(-14.6691),2^(-14.6691)
11,random_keys,,10,0x0000000000001234,output,0x00000004,1,5,0x64516de2,rms,2^(-14.6701),2^(-14.6701)
11,random_keys,,10,0x0000000000001234,output,0x00000008,1,1,0x0a468e48,rms,2^(-14.5841),2^(-14.5841)
11,random_keys,,10,0x0000000000001234,output,0x00000008,1,2,0x7a22f376,rms,2^(-14.6573),2^(-14.6573)
11,random_keys,,10,0x0000000000001234,output,0x00000008,1,3,0x0310ea29,rms,2^(-14.6688),2^(-14.6688)
11,random_keys,,10,0x0000000000001234,output,0x00000008,1,4,0xabd42a60,rms,2^(-14.6700),2^(-14.6700)
11,random_keys,,10,0x0000000000001234,output,0x00000008,1,5,0x0e18690c,rms,2^(-14.6706),2^(-14.6706)
11,random_keys,,10,0x0000000000001234,output,0x00000010,1,1,0x397e0b4d,rms,2^(-14.6252),2^(-14.6252)
11,random_keys,,10,0x0000000000001234,output,0x00000010,1,2,0x2cbbd78c,rms,2^(-14.6304),2^(-14.6304)
11,random_keys,,10,0x0000000000001234,output,0x00000010,1,3,0x7c3e7eca,rms,2^(-14.6766),2^(-14.6766)
11,random_keys,,10,0x0000000000001234,output,0x00000010,1,4,0x9e320ff8,rms,2^(-14.6861),2^(-14.6861)
11,random_keys,,10,0x0000000000001234,output,0x00000010,1,5,0xe65b2a62,rms,2^(-14.6941),2^(-14.6941)
11,random_keys,,10,0x0000000000001234,output,0x00000020,1,1,0x9810517b,rms,2^(-14.6548),2^(-14.6548)
