rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
10,random_keys,,5,0x0000000000001234,0x00000001,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
10,random_keys,,5,0x0000000000001234,0x00000001,1,2,0x539f9bfd,rms,2^(-13.8252),2^(-13.8252)
10,random_keys,,5,0x0000000000001234,0x00000001,1,3,0xb6a5348a,rms,2^(-13.8447),2^(-13.8447)
10,random_keys,,5,0x0000000000001234,0x00000001,1,4,0x7f4fec60,rms,2^(-13.8458),2^(-13.8458)
10,random_keys,,5,0x0000000000001234,0x00000001,1,5,0xfd415c3f,rms,2^(-13.8485),2^(-13.8485)
10,random_keys,,5,0x0000000000001234,0x00000002,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
10,random_keys,,5,0x0000000000001234,0x00000002,1,2,0xea7c5f29,rms,2^(-13.8030),2^(-13.8030)
10,random_keys,,5,0x0000000000001234,0x00000002,1,3,0x296a3668,rms,2^(-13.8147),2^(-13.8147)
10,random_keys,,5,0x0000000000001234,0x00000002,1,4,0xca245a48,rms,2^(-13.8216),2^(-13.8216)
10,random_keys,,5,0x0000000000001234,0x00000002,1,5,0xc0988b2b,rms,2^(-13.8226),2^(-13.8226)
10,random_keys,,5,0x0000000000001234,0x00000004,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
10,random_keys,,5,0x0000000000001234,0x00000004,1,2,0x85796946,rms,2^(-13.7545),2^(-13.7545)
10,random_keys,,5,0x0000000000001234,0x00000004,1,3,0xc09c4511,rms,2^(-13.7663),2^(-13.7663)
10,random_keys,,5,0x0000000000001234,0x00000004,1,4,0x8bd7a3d3,rms,2^(-13.7833),2^(-13.7833)
10,random_keys,,5,0x0000000000001234,0x00000004,1,5,0xea0638c1,rms,2^(-13.8035),2^(-13.8035)
10,random_keys,,5,0x0000000000001234,0x00000008,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
10,random_keys,,5,0x0000000000001234,0x00000008,1,2,0x65a4c070,rms,2^(-13.6648),2^(-13.6648)
10,random_keys,,5,0x0000000000001234,0x00000008,1,3,0xdf840e53,rms,2^(-13.7285),2^(-13.7285)
10,random_keys,,5,0x0000000000001234,0x00000008,1,4,0xfd36fac0,rms,2^(-13.7984),2^(-13.7984)
10,random_keys,,5,0x0000000000001234,0x00000008,1,5,0x80e363a8,rms,2^(-13.8213),2^(-13.8213)
10,random_keys,,5,0x0000000000001234,0x00000010,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
10,random_keys,,5,0x0000000000001234,0x00000010,1,2,0x81283500,rms,2^(-13.7884),2^(-13.7884)
10,random_keys,,5,0x0000000000001234,0x00000010,1,3,0x8cbc1e2d,rms,2^(-13.7890),2^(-13.7890)
10,random_keys,,5,0x0000000000001234,0x00000010,1,4,0x4c9e4974,rms,2^(-13.7899),2^(-13.7899)
10,random_keys,,5,0x0000000000001234,0x00000010,1,5,0xf9a7d712,rms,2^(-13.7947),2^(-13.7947)
10,random_keys,,5,0x0000000000001234,0x00000020,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
