rounds,key_mode,key_hex,num_keys,seed_hex,fixed_side,fixed_mask_hex,fixed_mask_weight,rank,free_mask_hex,metric_name,metric_pow2,abs_metric_pow2
10,random_keys,,5,0x0000000000001234,input,0x00000001,1,1,0x53c57e04,rms,2^(-14.3176),2^(-14.3176)
10,random_keys,,5,0x0000000000001234,input,0x00000001,1,2,0x7fe8432d,rms,2^(-14.3274),2^(-14.3274)
10,random_keys,,5,0x0000000000001234,input,0x00000001,1,3,0xb25679f3,rms,2^(-14.3278),2^(-14.3278)
10,random_keys,,5,0x0000000000001234,input,0x00000001,1,4,0xaac42ccf,rms,2^(-14.3324),2^(-14.3324)
10,random_keys,,5,0x0000000000001234,input,0x00000001,1,5,0xb8c88da2,rms,2^(-14.3341),2^(-14.3341)
10,random_keys,,5,0x0000000000001234,input,0x00000002,1,1,0x57eb42e0,rms,2^(-14.2203),2^(-14.2203)
10,random_keys,,5,0x0000000000001234,input,0x00000002,1,2,0xc5d358e8,rms,2^(-14.2932),2^(-14.2932)
10,random_keys,,5,0x0000000000001234,input,0x00000002,1,3,0x8d210e31,rms,2^(-14.3008),2^(-14.3008)
10,random_keys,,5,0x0000000000001234,input,0x00000002,1,4,0x37f83600,rms,2^(-14.3021),2^(-14.3021)
10,random_keys,,5,0x0000000000001234,input,0x00000002,1,5,0xbaa6a39f,rms,2^(-14.3174),2^(-14.3174)
10,random_keys,,5,0x0000000000001234,input,0x00000004,1,1,0xd6461d78,rms,2^(-14.2583),2^(-14.2583)
10,random_keys,,5,0x0000000000001234,input,0x00000004,1,2,0xeb14a83d,rms,2^(-14.2909),2^(-14.2909)
10,random_keys,,5,0x0000000000001234,input,0x00000004,1,3,0xec1e05a2,rms,2^(-14.3173),2^(-14.3173)
10,random_keys,,5,0x0000000000001234,input,0x00000004,1,4,0xd1d1626b,rms,2^(-14.3233),2^(-14.3233)
10,random_keys,,5,0x0000000000001234,input,0x00000004,1,5,0x7ab60d5b,rms,2^(-14.3241),2^(-14.3241)
10,random_keys,,5,0x0000000000001234,input,0x00000008,1,1,0xaad8a469,rms,2^(-14.2788),2^(-14.2788)
10,random_keys,,5,0x0000000000001234,input,0x00000008,1,2,0x7b1bbfc5,rms,2^(-14.2954),2^(-14.2954)
10,random_keys,,5,0x0000000000001234,input,0x00000008,1,3,0xd837b4af,rms,2^(-14.2980),2^(-14.2980)
10,random_keys,,5,0x0000000000001234,input,0x00000008,1,4,0x79eb75c3,rms,2^(-14.3046),2^(-14.3046)
